Team,Division,Status,Record,Elo,Points,GR,Playoff Odds,Semis Odds,Finals Odds,Championship Odds,Expected Wins,Expected Points,Average Seed,SOS
Yarmouth-Dennis,East,✓ Clinched,28-11-1,1585.0,57,0,100.0,70.1,43.0,31.7,28.0,57.0,1.0,0
Brewster,East,✓ Clinched,25-12-3,1565.0,53,0,100.0,63.3,28.7,19.6,25.0,53.0,2.0,0
Chatham,East,✓ Clinched,19-18-3,1505.0,41,0,100.0,29.9,14.8,8.7,19.0,41.0,4.0,0
Harwich,East,✓ Clinched,21-19-0,1510.0,42,0,100.0,36.7,13.5,7.0,21.0,42.0,3.0,0
Orleans,East,✗ Eliminated,16-24-0,1460.0,32,0,0.0,0.0,0.0,0.0,16.0,32.0,5.0,0
Hyannis,West,✓ Clinched,22-18-0,1520.0,44,0,100.0,69.0,40.9,16.4,22.0,44.0,1.0,0
Bourne,West,✓ Clinched,18-19-3,1495.0,39,0,100.0,56.9,27.0,8.0,18.0,39.0,2.0,0
Falmouth,West,✓ Clinched,17-21-2,1480.0,36,0,100.0,43.1,18.1,5.3,17.0,36.0,3.0,0
Cotuit,West,✓ Clinched,13-25-2,1440.0,28,0,100.0,31.0,14.0,3.3,13.0,28.0,4.0,0
Wareham,West,✗ Eliminated,14-26-0,1440.0,28,0,0.0,0.0,0.0,0.0,14.0,28.0,5.0,0
